Period	CTA1	CTA2	CTA3	GM1	GM2	LS1	LS2	LS3	MN1	MN2	SDX
1	4.68 	0.10 	-2.69 	0.89 	-6.66 	0.37 	5.80 	2.36 	-3.09 	2.81 	3.21 
2	-0.18 	1.79 	3.61 	-0.90 	2.93 	-1.06 	4.27 	0.32 	-0.87 	-3.51 	-0.20 
3	0.66 	2.04 	-0.28 	-5.38 	6.68 	0.62 	-3.11 	-0.44 	0.19 	-1.56 	0.54 
4	-1.45 	1.34 	2.95 	1.33 	2.26 	-0.62 	-4.67 	4.89 	0.56 	-0.07 	-1.60 
5	3.11 	-0.16 	-4.83 	0.88 	2.21 	-1.40 	4.12 	-1.54 	-0.82 	0.38 	1.23 
6	1.10 	-1.40 	5.01 	-1.02 	-6.26 	1.36 	-0.31 	1.02 	0.97 	-0.07 	2.11 
7	-5.11 	1.15 	8.03 	-2.88 	6.66 	2.02 	6.87 	1.12 	1.50 	-2.85 	-4.98 
8	4.91 	-1.20 	3.25 	3.81 	-0.72 	0.74 	0.31 	4.32 	2.41 	0.62 	2.54 
9	-0.70 	-1.99 	-1.96 	5.93 	0.38 	0.54 	-6.94 	-0.10 	2.23 	-0.46 	2.10 
10	1.33 	2.20 	-0.75 	-6.20 	1.30 	1.77 	1.97 	-6.56 	0.51 	-0.33 	-0.45 
11	-0.52 	2.45 	-3.79 	3.23 	-2.85 	1.64 	-1.80 	-0.55 	0.93 	-0.91 	-0.98 
12	6.15 	0.17 	2.19 	2.46 	4.05 	-1.42 	-3.75 	2.79 	2.18 	-0.97 	3.56 
13	-1.36 	-1.54 	2.40 	-2.82 	-1.01 	2.16 	-0.45 	-0.81 	1.63 	-1.24 	-3.40 
14	2.07 	-1.00 	6.18 	1.65 	-4.85 	0.23 	0.77 	1.67 	-1.52 	0.52 	1.45 
15	-2.32 	-0.65 	-0.72 	-2.10 	14.91 	-0.80 	7.50 	-0.25 	2.86 	-0.58 	0.34 
16	4.88 	-0.97 	3.82 	7.12 	-4.03 	2.24 	-4.34 	-0.57 	2.27 	0.89 	-2.40 
17	2.96 	1.26 	-1.19 	1.89 	0.98 	-0.22 	2.76 	3.72 	-0.64 	4.04 	-1.30 
18	-4.03 	0.48 	-1.20 	-0.79 	-4.16 	1.42 	3.38 	2.90 	-1.16 	-0.86 	-1.56 
19	7.15 	2.02 	7.08 	4.70 	-5.43 	-0.69 	1.52 	4.75 	3.49 	2.70 	3.56 
20	1.05 	2.83 	-10.23 	4.78 	5.57 	2.39 	3.26 	-1.79 	0.51 	-3.03 	5.76 
21	-0.10 	2.41 	2.93 	3.96 	2.02 	1.00 	-0.88 	-3.31 	2.77 	-2.14 	4.56 
22	1.04 	2.66 	-9.60 	-0.91 	6.95 	2.50 	-1.96 	1.78 	-0.72 	-1.08 	2.34 
23	-2.60 	-1.00 	-6.08 	-1.07 	-6.22 	3.05 	-0.08 	3.56 	1.49 	3.85 	-4.50 
24	1.95 	0.42 	0.27 	1.93 	4.63 	0.24 	2.98 	6.36 	-1.95 	2.04 	0.76 
25	-4.07 	2.70 	4.10 	4.96 	-1.33 	1.89 	-1.24 	-1.54 	-0.03 	-3.99 	0.25 
26	-0.89 	0.52 	12.06 	2.80 	6.50 	2.28 	-2.07 	-3.56 	0.82 	4.06 	-4.32 
27	3.36 	0.47 	2.91 	5.57 	-0.28 	4.09 	6.40 	3.08 	3.83 	1.85 	-5.32 
28	0.54 	-1.02 	0.55 	-1.91 	0.86 	-2.31 	1.10 	5.15 	-0.33 	0.79 	-3.76 
29	0.55 	1.14 	3.95 	-6.05 	-2.72 	-1.86 	-4.42 	3.48 	0.12 	1.18 	2.45 
30	7.00 	-1.16 	2.55 	-1.67 	-5.24 	1.47 	5.70 	0.34 	0.81 	4.00 	-6.54 
31	1.94 	0.66 	-0.58 	5.51 	4.91 	1.42 	4.77 	-1.97 	0.65 	0.27 	0.04 
32	2.44 	3.45 	3.64 	3.89 	3.91 	-0.92 	-1.74 	5.96 	3.63 	-1.70 	-1.45 
33	2.78 	0.94 	-4.97 	3.01 	3.22 	-0.46 	-1.55 	-5.14 	1.00 	-1.00 	4.30 
34	1.99 	-0.28 	2.73 	-2.63 	5.44 	1.55 	0.50 	4.25 	-0.52 	0.84 	-2.11 
35	2.69 	-0.06 	-1.04 	-4.92 	-7.19 	1.67 	3.04 	0.09 	0.39 	1.98 	2.45 
36	0.43 	3.10 	0.44 	7.09 	-9.23 	5.22 	0.79 	4.56 	2.22 	-0.89 	2.43 
37	-0.33 	1.91 	3.14 	0.36 	3.07 	-0.86 	3.61 	1.33 	1.82 	-1.07 	-0.54 
38	-1.79 	-0.75 	2.71 	-5.62 	3.64 	-1.38 	-3.51 	0.23 	-0.39 	2.19 	-4.56 
39	4.89 	-0.22 	-2.84 	-0.95 	-3.08 	2.41 	-2.12 	4.15 	1.50 	-0.71 	6.43 
40	0.55 	-1.01 	3.82 	12.52 	6.30 	1.01 	0.74 	-4.89 	0.36 	-1.66 	0.09 
41	1.90 	0.82 	2.27 	-4.07 	2.57 	4.17 	1.23 	1.69 	-1.13 	1.64 	2.40 
42	3.26 	0.10 	4.07 	-1.60 	2.84 	-1.15 	3.34 	0.36 	1.12 	-0.63 	2.50 
43	-3.35 	0.08 	0.78 	5.86 	3.96 	-0.91 	-2.36 	-1.84 	-0.59 	1.48 	-2.40 
44	3.84 	1.50 	4.51 	2.32 	-3.84 	-2.45 	-1.35 	-2.79 	1.66 	0.03 	-3.50 
45	0.35 	-0.58 	1.43 	-1.21 	-2.10 	-1.31 	-2.89 	-2.45 	0.65 	0.54 	-5.43 
46	2.19 	-1.32 	0.83 	-8.94 	2.10 	-0.20 	-0.21 	-2.10 	-0.75 	-1.49 	-1.50 
47	2.68 	3.04 	1.34 	0.91 	0.33 	-0.19 	-3.60 	-1.96 	-2.38 	0.13 	-0.99 
48	2.57 	1.14 	3.91 	-7.16 	4.89 	-0.19 	-0.20 	-0.34 	-0.48 	0.43 	1.94 
49	1.20 	0.22 	1.07 	6.74 	3.25 	-0.13 	-2.30 	-2.26 	-1.28 	-1.00 	-0.05 
