Period	Return
1	-0.74 
2	1.45 
3	0.74 
4	1.29 
5	0.24 
6	-0.51 
7	1.57 
8	2.01 
9	0.33 
10	-0.42 
11	-0.29 
12	3.01 
13	-0.87 
14	0.81 
15	1.83 
16	2.17 
17	1.18 
18	-1.94 
19	3.10 
20	0.80 
21	2.24 
22	0.03 
23	-3.40 
24	1.84 
25	1.27 
26	4.20 
27	2.41 
28	-0.20 
29	-0.63 
30	0.29 
31	2.49 
32	3.47 
33	1.00 
34	1.45 
35	-2.10 
36	0.37 
37	1.63 
38	-0.36 
39	-0.44 
40	4.44 
41	0.70 
42	1.73 
43	1.47 
44	1.66 
45	-0.42 
46	-1.03 
47	1.66 
48	1.07 
49	2.50 
50	0.26 
51	2.45 
52	2.23 
53	-0.03 
54	1.60 
55	0.78 
56	2.43 
57	2.37 
58	-0.70 
59	-1.34 
60	2.02 
61	1.89 
62	-0.25 
63	0.13 
64	0.75 
65	0.15 
66	0.53 
67	1.87 
68	-1.43 
69	1.35 
70	0.57 
71	-1.67 
72	0.46 
