Period	S&P 	LS 
1	2.33 	1.83 
2	-0.57 	0.20 
3	0.63 	0.03 
4	0.53 	0.83 
5	-0.24 	0.97 
6	3.30 	-0.05 
7	-3.41 	1.68 
8	5.07 	1.28 
9	2.32 	0.20 
10	-2.85 	-0.45 
11	-0.44 	1.15 
12	4.25 	1.87 
13	-2.73 	-0.66 
14	2.40 	1.51 
15	-0.18 	2.25 
16	-1.57 	0.88 
17	0.45 	1.03 
18	0.60 	2.05 
19	5.59 	1.08 
20	4.03 	2.33 
21	2.35 	-0.41 
22	3.21 	-0.03 
23	-1.19 	2.17 
24	4.06 	3.14 
25	0.42 	-0.65 
26	-4.96 	1.62 
27	-1.74 	4.25 
28	-2.34 	1.77 
29	3.26 	0.36 
30	-5.63 	3.61 
31	-0.23 	2.33 
32	1.07 	0.67 
33	1.50 	-0.90 
34	0.79 	2.54 
35	3.33 	2.03 
36	1.24 	3.24 
37	-0.30 	1.53 
38	-5.14 	1.36 
39	4.53 	-0.49 
40	-1.85 	-0.62 
41	5.33 	0.67 
42	2.11 	1.57 
43	-3.77 	-1.48 
44	-6.12 	-3.73 
45	-7.31 	-5.14 
46	-2.65 	-1.76 
47	-2.07 	-3.82 
48	1.67 	-1.05 
49	-1.25 	-3.19 
50	5.33 	1.93 
51	4.44 	-2.33 
52	-0.80 	0.58 
53	2.66 	1.94 
54	4.61 	1.89 
55	2.41 	1.15 
56	4.18 	0.91 
57	8.03 	3.77 
58	3.16 	1.53 
59	8.18 	4.54 
60	7.54 	2.67 
61	-1.75 	0.80 
62	-1.40 	0.84 
63	-1.70 	0.41 
64	0.15 	0.41 
65	3.96 	0.82 
66	-2.01 	-1.18 
67	-1.80 	1.97 
68	3.84 	0.07 
69	-1.25 	-0.75 
70	-0.60 	0.48 
71	2.95 	2.47 
72	1.53 	2.25 

