Period	MgrA	MgrB
1	0.10 	0.89 
2	1.79 	-0.90 
3	2.04 	-5.38 
4	1.34 	1.33 
5	-0.16 	0.88 
6	-1.40 	-1.02 
7	1.15 	-2.88 
8	-1.20 	3.81 
9	-1.99 	5.93 
10	2.20 	-6.20 
11	2.45 	3.23 
12	0.17 	2.46 
13	-1.54 	-2.82 
14	-1.00 	1.65 
15	-0.65 	-2.10 
16	-0.97 	7.12 
17	1.26 	1.89 
18	0.48 	-0.79 
19	2.02 	4.70 
20	2.83 	4.78 
21	2.41 	3.96 
22	2.66 	-0.91 
23	-1.00 	-1.07 
24	0.42 	1.93 
25	2.70 	4.96 
26	0.52 	2.80 
27	0.47 	5.57 
28	-1.02 	-1.91 
29	1.14 	-6.05 
30	-1.16 	-1.67 
31	0.66 	5.51 
32	3.45 	3.89 
33	0.94 	3.01 
34	-0.28 	-2.63 
35	-0.06 	-4.92 
36	3.10 	7.09 
37	1.91 	0.36 
38	-0.75 	-5.62 
39	-0.22 	-0.95 
40	-1.01 	12.52 
41	0.82 	-4.07 
42	0.10 	-1.60 
43	0.08 	5.86 
44	1.50 	2.32 
45	-0.58 	-1.21 
46	-1.32 	-8.94 
47	3.04 	0.91 
48	1.14 	-7.16 
49	0.22 	6.74 
50	-0.32 	2.08 
51	-1.21 	6.58 
52	-1.24 	5.94 
53	2.25 	-1.83 
54	-1.64 	6.10 
55	2.38 	-0.38 
56	-0.42 	2.05 
57	0.60 	0.98 
58	3.81 	-1.56 
59	-1.72 	-3.51 
60	2.29 	5.92 
61	4.15 	5.02 
62	1.76 	2.00 
63	-0.85 	2.24 
64	1.06 	1.86 
65	-1.45 	-3.57 
66	-0.67 	-1.70 
67	-0.55 	-0.13 
68	2.39 	0.05 
69	1.06 	5.06 
70	-0.69 	6.19 
71	1.27 	-4.46 
72	0.10 	0.59 

